# wavelength[A] tau flux flux_error
1.150990e+03 0.000000e+00 9.790350e-01 1.808257e-01
1.151000e+03 0.000000e+00 9.239225e-01 1.756624e-01
1.151010e+03 0.000000e+00 1.016651e+00 1.842668e-01
1.151020e+03 0.000000e+00 9.557804e-01 1.786653e-01
1.151030e+03 0.000000e+00 1.015026e+00 1.841194e-01
1.151040e+03 0.000000e+00 1.014262e+00 1.840502e-01
1.151050e+03 0.000000e+00 1.033845e+00 1.858184e-01
1.151060e+03 0.000000e+00 1.031942e+00 1.856473e-01
1.151070e+03 0.000000e+00 9.546509e-01 1.785597e-01
1.151080e+03 0.000000e+00 9.643643e-01 1.794658e-01
1.151090e+03 0.000000e+00 1.008422e+00 1.835195e-01
1.151100e+03 0.000000e+00 9.514094e-01 1.782563e-01
1.151110e+03 0.000000e+00 9.967971e-01 1.824587e-01
1.151120e+03 0.000000e+00 9.798335e-01 1.808995e-01
1.151130e+03 0.000000e+00 1.011284e+00 1.837798e-01
1.151140e+03 0.000000e+00 1.056056e+00 1.878039e-01
1.151150e+03 0.000000e+00 9.692849e-01 1.799231e-01
1.151160e+03 0.000000e+00 1.016743e+00 1.842751e-01
1.151170e+03 0.000000e+00 9.195151e-01 1.752429e-01
1.151180e+03 0.000000e+00 1.003069e+00 1.830318e-01
1.151190e+03 0.000000e+00 1.054725e+00 1.876855e-01
1.151200e+03 0.000000e+00 1.017022e+00 1.843004e-01
1.151210e+03 0.000000e+00 1.038126e+00 1.862028e-01
1.151220e+03 0.000000e+00 9.720638e-01 1.801808e-01
1.151230e+03 0.000000e+00 9.702011e-01 1.800081e-01
1.151240e+03 0.000000e+00 9.959625e-01 1.823823e-01
1.151250e+03 0.000000e+00 1.017648e+00 1.843571e-01
1.151260e+03 0.000000e+00 1.024685e+00 1.849934e-01
1.151270e+03 0.000000e+00 9.876687e-01 1.816213e-01
1.151280e+03 0.000000e+00 9.663623e-01 1.796516e-01
1.151290e+03 0.000000e+00 1.057333e+00 1.879174e-01
1.151300e+03 0.000000e+00 9.934691e-01 1.821538e-01
1.151310e+03 0.000000e+00 9.993461e-01 1.826918e-01
1.151320e+03 0.000000e+00 9.257581e-01 1.758368e-01
1.151330e+03 0.000000e+00 1.032119e+00 1.856633e-01
1.151340e+03 0.000000e+00 1.005555e+00 1.832585e-01
1.151350e+03 0.000000e+00 9.794656e-01 1.808655e-01
1.151360e+03 0.000000e+00 9.823124e-01 1.811281e-01
1.151370e+03 0.000000e+00 9.818198e-01 1.810827e-01
1.151380e+03 0.000000e+00 9.928605e-01 1.820980e-01
1.151390e+03 0.000000e+00 1.039476e+00 1.863238e-01
1.151400e+03 0.000000e+00 1.062066e+00 1.883375e-01
1.151410e+03 0.000000e+00 9.965498e-01 1.824360e-01
1.151420e+03 0.000000e+00 9.706066e-01 1.800457e-01
1.151430e+03 0.000000e+00 1.006697e+00 1.833625e-01
1.151440e+03 0.000000e+00 9.802299e-01 1.809360e-01
1.151450e+03 0.000000e+00 9.869953e-01 1.815594e-01
1.151460e+03 0.000000e+00 9.527931e-01 1.783859e-01
1.151470e+03 0.000000e+00 9.808051e-01 1.809891e-01
1.151480e+03 0.000000e+00 9.939694e-01 1.821997e-01
1.151490e+03 0.000000e+00 9.762555e-01 1.805689e-01
1.151500e+03 0.000000e+00 9.866623e-01 1.815287e-01
1.151510e+03 0.000000e+00 1.024713e+00 1.849960e-01
1.151520e+03 0.000000e+00 9.464759e-01 1.777935e-01
1.151530e+03 0.000000e+00 1.016400e+00 1.842440e-01
1.151540e+03 0.000000e+00 1.014068e+00 1.840325e-01
1.151550e+03 0.000000e+00 9.527752e-01 1.783842e-01
1.151560e+03 0.000000e+00 1.028208e+00 1.853112e-01
1.151570e+03 0.000000e+00 9.670328e-01 1.797139e-01
1.151580e+03 0.000000e+00 9.448294e-01 1.776388e-01
1.151590e+03 0.000000e+00 9.949613e-01 1.822906e-01
1.151600e+03 0.000000e+00 9.463633e-01 1.777829e-01
1.151610e+03 0.000000e+00 9.992707e-01 1.826849e-01
1.151620e+03 0.000000e+00 1.052458e+00 1.874837e-01
1.151630e+03 0.000000e+00 9.877499e-01 1.816288e-01
1.151640e+03 0.000000e+00 9.773776e-01 1.806726e-01
1.151650e+03 0.000000e+00 9.719754e-01 1.801726e-01
1.151660e+03 0.000000e+00 1.010366e+00 1.836963e-01
1.151670e+03 0.000000e+00 1.025967e+00 1.851091e-01
1.151680e+03 0.000000e+00 9.842213e-01 1.813040e-01
1.151690e+03 0.000000e+00 1.038414e+00 1.862286e-01
1.151700e+03 0.000000e+00 9.773448e-01 1.806696e-01
1.151710e+03 0.000000e+00 1.056937e+00 1.878822e-01
1.151720e+03 0.000000e+00 9.795133e-01 1.808699e-01
1.151730e+03 0.000000e+00 1.026257e+00 1.851353e-01
1.151740e+03 0.000000e+00 1.021226e+00 1.846810e-01
1.151750e+03 0.000000e+00 1.011157e+00 1.837683e-01
1.151760e+03 0.000000e+00 9.702093e-01 1.800088e-01
1.151770e+03 0.000000e+00 9.667498e-01 1.796876e-01
1.151780e+03 0.000000e+00 1.003310e+00 1.830538e-01
1.151790e+03 0.000000e+00 1.018120e+00 1.843999e-01
1.151800e+03 0.000000e+00 9.919313e-01 1.820128e-01
1.151810e+03 0.000000e+00 9.672346e-01 1.797327e-01
1.151820e+03 0.000000e+00 9.652708e-01 1.795501e-01
1.151830e+03 0.000000e+00 9.928040e-01 1.820928e-01
1.151840e+03 0.000000e+00 1.002224e+00 1.829546e-01
1.151850e+03 0.000000e+00 9.987242e-01 1.826350e-01
1.151860e+03 0.000000e+00 1.008137e+00 1.834936e-01
1.151870e+03 0.000000e+00 9.813136e-01 1.810360e-01
1.151880e+03 0.000000e+00 9.821257e-01 1.811109e-01
1.151890e+03 0.000000e+00 9.576060e-01 1.788358e-01
1.151900e+03 0.000000e+00 1.018887e+00 1.844693e-01
1.151910e+03 0.000000e+00 1.011284e+00 1.837798e-01
1.151920e+03 0.000000e+00 1.048925e+00 1.871688e-01
1.151930e+03 0.000000e+00 1.018285e+00 1.844148e-01
1.151940e+03 0.000000e+00 1.002786e+00 1.830060e-01
1.151950e+03 0.000000e+00 9.584181e-01 1.789117e-01
1.151960e+03 0.000000e+00 1.019011e+00 1.844805e-01
1.151970e+03 0.000000e+00 9.684417e-01 1.798448e-01
1.151980e+03 0.000000e+00 9.626537e-01 1.793066e-01
1.151990e+03 0.000000e+00 1.012990e+00 1.839347e-01
1.152000e+03 0.000000e+00 1.015886e+00 1.841975e-01
1.152010e+03 0.000000e+00 9.879804e-01 1.816500e-01
1.152020e+03 0.000000e+00 9.761572e-01 1.805598e-01
1.152030e+03 0.000000e+00 1.020449e+00 1.846107e-01
1.152040e+03 0.000000e+00 1.017072e+00 1.843049e-01
1.152050e+03 0.000000e+00 9.799238e-01 1.809078e-01
1.152060e+03 0.000000e+00 9.789326e-01 1.808163e-01
1.152070e+03 0.000000e+00 1.042249e+00 1.865722e-01
1.152080e+03 0.000000e+00 1.056283e+00 1.878241e-01
1.152090e+03 0.000000e+00 9.919921e-01 1.820184e-01
1.152100e+03 0.000000e+00 9.403474e-01 1.772170e-01
1.152110e+03 0.000000e+00 1.019010e+00 1.844805e-01
1.152120e+03 0.000000e+00 9.958238e-01 1.823696e-01
1.152130e+03 0.000000e+00 1.035244e+00 1.859441e-01
1.152140e+03 0.000000e+00 9.972673e-01 1.825017e-01
1.152150e+03 0.000000e+00 1.075226e+00 1.895008e-01
1.152160e+03 0.000000e+00 9.412583e-01 1.773028e-01
1.152170e+03 0.000000e+00 9.507074e-01 1.781905e-01
1.152180e+03 0.000000e+00 1.020428e+00 1.846088e-01
1.152190e+03 0.000000e+00 9.933894e-01 1.821465e-01
1.152200e+03 0.000000e+00 9.766034e-01 1.806010e-01
1.152210e+03 0.000000e+00 1.029806e+00 1.854551e-01
1.152220e+03 0.000000e+00 9.943810e-01 1.822374e-01
1.152230e+03 0.000000e+00 1.019754e+00 1.845478e-01
1.152240e+03 0.000000e+00 9.954003e-01 1.823308e-01
1.152250e+03 0.000000e+00 9.419221e-01 1.773653e-01
1.152260e+03 0.000000e+00 9.739851e-01 1.803588e-01
1.152270e+03 0.000000e+00 9.560546e-01 1.786909e-01
1.152280e+03 0.000000e+00 1.101113e+00 1.917684e-01
1.152290e+03 0.000000e+00 9.826555e-01 1.811598e-01
1.152300e+03 0.000000e+00 1.051791e+00 1.874243e-01
1.152310e+03 0.000000e+00 9.514335e-01 1.782585e-01
1.152320e+03 0.000000e+00 9.844016e-01 1.813206e-01
1.152330e+03 0.000000e+00 9.688172e-01 1.798796e-01
1.152340e+03 0.000000e+00 9.890197e-01 1.817455e-01
