# wavelength[A] tau flux flux_error
1.150990e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151000e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151010e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151020e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151030e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151040e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151050e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151060e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151070e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151080e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151090e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151100e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151110e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151120e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151130e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151140e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151150e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151160e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151170e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151180e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151190e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151200e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151210e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151220e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151230e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151240e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151250e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151260e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151270e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151280e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151290e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151300e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151310e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151320e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151330e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151340e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151350e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151360e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151370e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151380e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151390e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151400e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151410e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151420e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151430e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151440e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151450e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151460e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151470e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151480e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151490e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151500e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151510e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151520e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151530e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151540e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151550e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151560e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151570e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151580e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151590e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151600e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151610e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151620e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151630e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151640e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151650e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151660e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151670e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151680e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151690e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151700e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151710e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151720e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151730e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151740e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151750e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151760e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151770e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151780e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151790e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151800e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151810e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151820e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151830e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151840e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151850e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151860e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151870e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151880e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151890e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151900e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151910e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151920e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151930e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151940e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151950e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151960e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151970e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151980e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.151990e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152000e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152010e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152020e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152030e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152040e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152050e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152060e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152070e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152080e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152090e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152100e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152110e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152120e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152130e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152140e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152150e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152160e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152170e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152180e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152190e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152200e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152210e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152220e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152230e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152240e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152250e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152260e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152270e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152280e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152290e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152300e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152310e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152320e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152330e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152340e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152350e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152360e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152370e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152380e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152390e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152400e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152410e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152420e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152430e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152440e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152450e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152460e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152470e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152480e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152490e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152500e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152510e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152520e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152530e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152540e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152550e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152560e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152570e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152580e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152590e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152600e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152610e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152620e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152630e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152640e+03 0.000000e+00 1.000000e+00 1.000000e-01
