# wavelength[A] tau flux flux_error
1.000990e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001000e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001010e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001020e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001030e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001040e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001050e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001060e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001070e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001080e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001090e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001100e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001110e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001120e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001130e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001140e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001150e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001160e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001170e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001180e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001190e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001200e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001210e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001220e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001230e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001240e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001250e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001260e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001270e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001280e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001290e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001300e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001310e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001320e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001330e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001340e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001350e+03 0.000000e+00 1.000000e+00 1.000000e-01
